公历日期,公历年,公历月,公历日,上中下旬,周数,星期,农历年,农历月,农历日,是否闰月,生肖,干支年,干支月,干支日,节气,是否节假日,是否工作日,节日名称
2021-03-11,2021,3,11,中旬,10,周四,2021,1,28,否,牛,辛丑,辛卯,戊午,,否,是,
2021-03-12,2021,3,12,中旬,10,周五,2021,1,29,否,牛,辛丑,辛卯,己未,,否,是,
2021-03-13,2021,3,13,中旬,10,周六,2021,2,1,否,牛,辛丑,辛卯,庚申,,是,否,
2021-03-14,2021,3,14,中旬,10,周日,2021,2,2,否,牛,辛丑,辛卯,辛酉,,是,否,
2021-03-15,2021,3,15,中旬,11,周一,2021,2,3,否,牛,辛丑,辛卯,壬戌,,否,是,
2021-03-16,2021,3,16,中旬,11,周二,2021,2,4,否,牛,辛丑,辛卯,癸亥,,否,是,
2021-03-17,2021,3,17,中旬,11,周三,2021,2,5,否,牛,辛丑,辛卯,甲子,,否,是,
2021-03-18,2021,3,18,中旬,11,周四,2021,2,6,否,牛,辛丑,辛卯,乙丑,,否,是,
2021-03-19,2021,3,19,中旬,11,周五,2021,2,7,否,牛,辛丑,辛卯,丙寅,,否,是,
2021-03-20,2021,3,20,中旬,11,周六,2021,2,8,否,牛,辛丑,辛卯,丁卯,春分,是,否,
2021-03-21,2021,3,21,下旬,11,周日,2021,2,9,否,牛,辛丑,辛卯,戊辰,,是,否,
2021-03-22,2021,3,22,下旬,12,周一,2021,2,10,否,牛,辛丑,辛卯,己巳,,否,是,
2021-03-23,2021,3,23,下旬,12,周二,2021,2,11,否,牛,辛丑,辛卯,庚午,,否,是,
2021-03-24,2021,3,24,下旬,12,周三,2021,2,12,否,牛,辛丑,辛卯,辛未,,否,是,
2021-03-25,2021,3,25,下旬,12,周四,2021,2,13,否,牛,辛丑,辛卯,壬申,,否,是,
2021-03-26,2021,3,26,下旬,12,周五,2021,2,14,否,牛,辛丑,辛卯,癸酉,,否,是,
2021-03-27,2021,3,27,下旬,12,周六,2021,2,15,否,牛,辛丑,辛卯,甲戌,,是,否,
2021-03-28,2021,3,28,下旬,12,周日,2021,2,16,否,牛,辛丑,辛卯,乙亥,,是,否,
2021-03-29,2021,3,29,下旬,13,周一,2021,2,17,否,牛,辛丑,辛卯,丙子,,否,是,
2021-03-30,2021,3,30,下旬,13,周二,2021,2,18,否,牛,辛丑,辛卯,丁丑,,否,是,
2021-03-31,2021,3,31,下旬,13,周三,2021,2,19,否,牛,辛丑,辛卯,戊寅,,否,是,
2021-04-01,2021,4,1,上旬,13,周四,2021,2,20,否,牛,辛丑,辛卯,己卯,,否,是,
2021-04-02,2021,4,2,上旬,13,周五,2021,2,21,否,牛,辛丑,辛卯,庚辰,,否,是,
2021-04-03,2021,4,3,上旬,13,周六,2021,2,22,否,牛,辛丑,辛卯,辛巳,,是,否,Tomb-sweeping Day
2021-04-04,2021,4,4,上旬,13,周日,2021,2,23,否,牛,辛丑,壬辰,壬午,清明,是,否,Tomb-sweeping Day
2021-04-05,2021,4,5,上旬,14,周一,2021,2,24,否,牛,辛丑,壬辰,癸未,,是,否,Tomb-sweeping Day
2021-04-06,2021,4,6,上旬,14,周二,2021,2,25,否,牛,辛丑,壬辰,甲申,,否,是,
2021-04-07,2021,4,7,上旬,14,周三,2021,2,26,否,牛,辛丑,壬辰,乙酉,,否,是,
2021-04-08,2021,4,8,上旬,14,周四,2021,2,27,否,牛,辛丑,壬辰,丙戌,,否,是,
2021-04-09,2021,4,9,上旬,14,周五,2021,2,28,否,牛,辛丑,壬辰,丁亥,,否,是,
2021-04-10,2021,4,10,上旬,14,周六,2021,2,29,否,牛,辛丑,壬辰,戊子,,是,否,
2021-04-11,2021,4,11,中旬,14,周日,2021,2,30,否,牛,辛丑,壬辰,己丑,,是,否,
2021-04-12,2021,4,12,中旬,15,周一,2021,3,1,否,牛,辛丑,壬辰,庚寅,,否,是,
2021-04-13,2021,4,13,中旬,15,周二,2021,3,2,否,牛,辛丑,壬辰,辛卯,,否,是,
2021-04-14,2021,4,14,中旬,15,周三,2021,3,3,否,牛,辛丑,壬辰,壬辰,,否,是,
2021-04-15,2021,4,15,中旬,15,周四,2021,3,4,否,牛,辛丑,壬辰,癸巳,,否,是,
2021-04-16,2021,4,16,中旬,15,周五,2021,3,5,否,牛,辛丑,壬辰,甲午,,否,是,
2021-04-17,2021,4,17,中旬,15,周六,2021,3,6,否,牛,辛丑,壬辰,乙未,,是,否,
2021-04-18,2021,4,18,中旬,15,周日,2021,3,7,否,牛,辛丑,壬辰,丙申,,是,否,
2021-04-19,2021,4,19,中旬,16,周一,2021,3,8,否,牛,辛丑,壬辰,丁酉,,否,是,
2021-04-20,2021,4,20,中旬,16,周二,2021,3,9,否,牛,辛丑,壬辰,戊戌,谷雨,否,是,
2021-04-21,2021,4,21,下旬,16,周三,2021,3,10,否,牛,辛丑,壬辰,己亥,,否,是,
2021-04-22,2021,4,22,下旬,16,周四,2021,3,11,否,牛,辛丑,壬辰,庚子,,否,是,
2021-04-23,2021,4,23,下旬,16,周五,2021,3,12,否,牛,辛丑,壬辰,辛丑,,否,是,
2021-04-24,2021,4,24,下旬,16,周六,2021,3,13,否,牛,辛丑,壬辰,壬寅,,是,否,
2021-04-25,2021,4,25,下旬,16,周日,2021,3,14,否,牛,辛丑,壬辰,癸卯,,否,是,
2021-04-26,2021,4,26,下旬,17,周一,2021,3,15,否,牛,辛丑,壬辰,甲辰,,否,是,
2021-04-27,2021,4,27,下旬,17,周二,2021,3,16,否,牛,辛丑,壬辰,乙巳,,否,是,
2021-04-28,2021,4,28,下旬,17,周三,2021,3,17,否,牛,辛丑,壬辰,丙午,,否,是,
2021-04-29,2021,4,29,下旬,17,周四,2021,3,18,否,牛,辛丑,壬辰,丁未,,否,是,
2021-04-30,2021,4,30,下旬,17,周五,2021,3,19,否,牛,辛丑,壬辰,戊申,,否,是,
2021-05-01,2021,5,1,上旬,17,周六,2021,3,20,否,牛,辛丑,壬辰,己酉,,是,否,Labour Day
2021-05-02,2021,5,2,上旬,17,周日,2021,3,21,否,牛,辛丑,壬辰,庚戌,,是,否,Labour Day
2021-05-03,2021,5,3,上旬,18,周一,2021,3,22,否,牛,辛丑,壬辰,辛亥,,是,否,Labour Day
2021-05-04,2021,5,4,上旬,18,周二,2021,3,23,否,牛,辛丑,壬辰,壬子,,是,否,Labour Day
2021-05-05,2021,5,5,上旬,18,周三,2021,3,24,否,牛,辛丑,癸巳,癸丑,立夏,是,否,Labour Day
2021-05-06,2021,5,6,上旬,18,周四,2021,3,25,否,牛,辛丑,癸巳,甲寅,,否,是,
2021-05-07,2021,5,7,上旬,18,周五,2021,3,26,否,牛,辛丑,癸巳,乙卯,,否,是,
2021-05-08,2021,5,8,上旬,18,周六,2021,3,27,否,牛,辛丑,癸巳,丙辰,,否,是,
2021-05-09,2021,5,9,上旬,18,周日,2021,3,28,否,牛,辛丑,癸巳,丁巳,,是,否,
2021-05-10,2021,5,10,上旬,19,周一,2021,3,29,否,牛,辛丑,癸巳,戊午,,否,是,
2021-05-11,2021,5,11,中旬,19,周二,2021,3,30,否,牛,辛丑,癸巳,己未,,否,是,
2021-05-12,2021,5,12,中旬,19,周三,2021,4,1,否,牛,辛丑,癸巳,庚申,,否,是,
2021-05-13,2021,5,13,中旬,19,周四,2021,4,2,否,牛,辛丑,癸巳,辛酉,,否,是,
2021-05-14,2021,5,14,中旬,19,周五,2021,4,3,否,牛,辛丑,癸巳,壬戌,,否,是,
2021-05-15,2021,5,15,中旬,19,周六,2021,4,4,否,牛,辛丑,癸巳,癸亥,,是,否,
2021-05-16,2021,5,16,中旬,19,周日,2021,4,5,否,牛,辛丑,癸巳,甲子,,是,否,
2021-05-17,2021,5,17,中旬,20,周一,2021,4,6,否,牛,辛丑,癸巳,乙丑,,否,是,
2021-05-18,2021,5,18,中旬,20,周二,2021,4,7,否,牛,辛丑,癸巳,丙寅,,否,是,
2021-05-19,2021,5,19,中旬,20,周三,2021,4,8,否,牛,辛丑,癸巳,丁卯,,否,是,
2021-05-20,2021,5,20,中旬,20,周四,2021,4,9,否,牛,辛丑,癸巳,戊辰,,否,是,
2021-05-21,2021,5,21,下旬,20,周五,2021,4,10,否,牛,辛丑,癸巳,己巳,小满,否,是,
2021-05-22,2021,5,22,下旬,20,周六,2021,4,11,否,牛,辛丑,癸巳,庚午,,是,否,
2021-05-23,2021,5,23,下旬,20,周日,2021,4,12,否,牛,辛丑,癸巳,辛未,,是,否,
2021-05-24,2021,5,24,下旬,21,周一,2021,4,13,否,牛,辛丑,癸巳,壬申,,否,是,
2021-05-25,2021,5,25,下旬,21,周二,2021,4,14,否,牛,辛丑,癸巳,癸酉,,否,是,
2021-05-26,2021,5,26,下旬,21,周三,2021,4,15,否,牛,辛丑,癸巳,甲戌,,否,是,
2021-05-27,2021,5,27,下旬,21,周四,2021,4,16,否,牛,辛丑,癸巳,乙亥,,否,是,
2021-05-28,2021,5,28,下旬,21,周五,2021,4,17,否,牛,辛丑,癸巳,丙子,,否,是,
2021-05-29,2021,5,29,下旬,21,周六,2021,4,18,否,牛,辛丑,癸巳,丁丑,,是,否,
2021-05-30,2021,5,30,下旬,21,周日,2021,4,19,否,牛,辛丑,癸巳,戊寅,,是,否,
2021-05-31,2021,5,31,下旬,22,周一,2021,4,20,否,牛,辛丑,癸巳,己卯,,否,是,
2021-06-01,2021,6,1,上旬,22,周二,2021,4,21,否,牛,辛丑,癸巳,庚辰,,否,是,
2021-06-02,2021,6,2,上旬,22,周三,2021,4,22,否,牛,辛丑,癸巳,辛巳,,否,是,
2021-06-03,2021,6,3,上旬,22,周四,2021,4,23,否,牛,辛丑,癸巳,壬午,,否,是,
2021-06-04,2021,6,4,上旬,22,周五,2021,4,24,否,牛,辛丑,癸巳,癸未,,否,是,
2021-06-05,2021,6,5,上旬,22,周六,2021,4,25,否,牛,辛丑,甲午,甲申,芒种,是,否,
2021-06-06,2021,6,6,上旬,22,周日,2021,4,26,否,牛,辛丑,甲午,乙酉,,是,否,
2021-06-07,2021,6,7,上旬,23,周一,2021,4,27,否,牛,辛丑,甲午,丙戌,,否,是,
2021-06-08,2021,6,8,上旬,23,周二,2021,4,28,否,牛,辛丑,甲午,丁亥,,否,是,
2021-06-09,2021,6,9,上旬,23,周三,2021,4,29,否,牛,辛丑,甲午,戊子,,否,是,
2021-06-10,2021,6,10,上旬,23,周四,2021,5,1,否,牛,辛丑,甲午,己丑,,否,是,
2021-06-11,2021,6,11,中旬,23,周五,2021,5,2,否,牛,辛丑,甲午,庚寅,,否,是,
2021-06-12,2021,6,12,中旬,23,周六,2021,5,3,否,牛,辛丑,甲午,辛卯,,是,否,Dragon Boat Festival
2021-06-13,2021,6,13,中旬,23,周日,2021,5,4,否,牛,辛丑,甲午,壬辰,,是,否,Dragon Boat Festival
2021-06-14,2021,6,14,中旬,24,周一,2021,5,5,否,牛,辛丑,甲午,癸巳,,是,否,Dragon Boat Festival
2021-06-15,2021,6,15,中旬,24,周二,2021,5,6,否,牛,辛丑,甲午,甲午,,否,是,
2021-06-16,2021,6,16,中旬,24,周三,2021,5,7,否,牛,辛丑,甲午,乙未,,否,是,
2021-06-17,2021,6,17,中旬,24,周四,2021,5,8,否,牛,辛丑,甲午,丙申,,否,是,
2021-06-18,2021,6,18,中旬,24,周五,2021,5,9,否,牛,辛丑,甲午,丁酉,,否,是,
2021-06-19,2021,6,19,中旬,24,周六,2021,5,10,否,牛,辛丑,甲午,戊戌,,是,否,
2021-06-20,2021,6,20,中旬,24,周日,2021,5,11,否,牛,辛丑,甲午,己亥,,是,否,
2021-06-21,2021,6,21,下旬,25,周一,2021,5,12,否,牛,辛丑,甲午,庚子,夏至,否,是,
2021-06-22,2021,6,22,下旬,25,周二,2021,5,13,否,牛,辛丑,甲午,辛丑,,否,是,
2021-06-23,2021,6,23,下旬,25,周三,2021,5,14,否,牛,辛丑,甲午,壬寅,,否,是,
2021-06-24,2021,6,24,下旬,25,周四,2021,5,15,否,牛,辛丑,甲午,癸卯,,否,是,
2021-06-25,2021,6,25,下旬,25,周五,2021,5,16,否,牛,辛丑,甲午,甲辰,,否,是,
2021-06-26,2021,6,26,下旬,25,周六,2021,5,17,否,牛,辛丑,甲午,乙巳,,是,否,
2021-06-27,2021,6,27,下旬,25,周日,2021,5,18,否,牛,辛丑,甲午,丙午,,是,否,
2021-06-28,2021,6,28,下旬,26,周一,2021,5,19,否,牛,辛丑,甲午,丁未,,否,是,
2021-06-29,2021,6,29,下旬,26,周二,2021,5,20,否,牛,辛丑,甲午,戊申,,否,是,
2021-06-30,2021,6,30,下旬,26,周三,2021,5,21,否,牛,辛丑,甲午,己酉,,否,是,
2021-07-01,2021,7,1,上旬,26,周四,2021,5,22,否,牛,辛丑,甲午,庚戌,,否,是,
2021-07-02,2021,7,2,上旬,26,周五,2021,5,23,否,牛,辛丑,甲午,辛亥,,否,是,
2021-07-03,2021,7,3,上旬,26,周六,2021,5,24,否,牛,辛丑,甲午,壬子,,是,否,
2021-07-04,2021,7,4,上旬,26,周日,2021,5,25,否,牛,辛丑,甲午,癸丑,,是,否,
2021-07-05,2021,7,5,上旬,27,周一,2021,5,26,否,牛,辛丑,甲午,甲寅,,否,是,
2021-07-06,2021,7,6,上旬,27,周二,2021,5,27,否,牛,辛丑,甲午,乙卯,,否,是,
2021-07-07,2021,7,7,上旬,27,周三,2021,5,28,否,牛,辛丑,乙未,丙辰,小暑,否,是,
2021-07-08,2021,7,8,上旬,27,周四,2021,5,29,否,牛,辛丑,乙未,丁巳,,否,是,
2021-07-09,2021,7,9,上旬,27,周五,2021,5,30,否,牛,辛丑,乙未,戊午,,否,是,
2021-07-10,2021,7,10,上旬,27,周六,2021,6,1,否,牛,辛丑,乙未,己未,,是,否,
2021-07-11,2021,7,11,中旬,27,周日,2021,6,2,否,牛,辛丑,乙未,庚申,,是,否,
2021-07-12,2021,7,12,中旬,28,周一,2021,6,3,否,牛,辛丑,乙未,辛酉,,否,是,
2021-07-13,2021,7,13,中旬,28,周二,2021,6,4,否,牛,辛丑,乙未,壬戌,,否,是,
2021-07-14,2021,7,14,中旬,28,周三,2021,6,5,否,牛,辛丑,乙未,癸亥,,否,是,
2021-07-15,2021,7,15,中旬,28,周四,2021,6,6,否,牛,辛丑,乙未,甲子,,否,是,
2021-07-16,2021,7,16,中旬,28,周五,2021,6,7,否,牛,辛丑,乙未,乙丑,,否,是,
2021-07-17,2021,7,17,中旬,28,周六,2021,6,8,否,牛,辛丑,乙未,丙寅,,是,否,
2021-07-18,2021,7,18,中旬,28,周日,2021,6,9,否,牛,辛丑,乙未,丁卯,,是,否,
2021-07-19,2021,7,19,中旬,29,周一,2021,6,10,否,牛,辛丑,乙未,戊辰,,否,是,
2021-07-20,2021,7,20,中旬,29,周二,2021,6,11,否,牛,辛丑,乙未,己巳,,否,是,
2021-07-21,2021,7,21,下旬,29,周三,2021,6,12,否,牛,辛丑,乙未,庚午,,否,是,
2021-07-22,2021,7,22,下旬,29,周四,2021,6,13,否,牛,辛丑,乙未,辛未,大暑,否,是,
2021-07-23,2021,7,23,下旬,29,周五,2021,6,14,否,牛,辛丑,乙未,壬申,,否,是,
2021-07-24,2021,7,24,下旬,29,周六,2021,6,15,否,牛,辛丑,乙未,癸酉,,是,否,
2021-07-25,2021,7,25,下旬,29,周日,2021,6,16,否,牛,辛丑,乙未,甲戌,,是,否,
2021-07-26,2021,7,26,下旬,30,周一,2021,6,17,否,牛,辛丑,乙未,乙亥,,否,是,
2021-07-27,2021,7,27,下旬,30,周二,2021,6,18,否,牛,辛丑,乙未,丙子,,否,是,
2021-07-28,2021,7,28,下旬,30,周三,2021,6,19,否,牛,辛丑,乙未,丁丑,,否,是,
2021-07-29,2021,7,29,下旬,30,周四,2021,6,20,否,牛,辛丑,乙未,戊寅,,否,是,
2021-07-30,2021,7,30,下旬,30,周五,2021,6,21,否,牛,辛丑,乙未,己卯,,否,是,
2021-07-31,2021,7,31,下旬,30,周六,2021,6,22,否,牛,辛丑,乙未,庚辰,,是,否,
2021-08-01,2021,8,1,上旬,30,周日,2021,6,23,否,牛,辛丑,乙未,辛巳,,是,否,
2021-08-02,2021,8,2,上旬,31,周一,2021,6,24,否,牛,辛丑,乙未,壬午,,否,是,
2021-08-03,2021,8,3,上旬,31,周二,2021,6,25,否,牛,辛丑,乙未,癸未,,否,是,
2021-08-04,2021,8,4,上旬,31,周三,2021,6,26,否,牛,辛丑,乙未,甲申,,否,是,
2021-08-05,2021,8,5,上旬,31,周四,2021,6,27,否,牛,辛丑,乙未,乙酉,,否,是,
2021-08-06,2021,8,6,上旬,31,周五,2021,6,28,否,牛,辛丑,乙未,丙戌,,否,是,
2021-08-07,2021,8,7,上旬,31,周六,2021,6,29,否,牛,辛丑,丙申,丁亥,立秋,是,否,
2021-08-08,2021,8,8,上旬,31,周日,2021,7,1,否,牛,辛丑,丙申,戊子,,是,否,
2021-08-09,2021,8,9,上旬,32,周一,2021,7,2,否,牛,辛丑,丙申,己丑,,否,是,
2021-08-10,2021,8,10,上旬,32,周二,2021,7,3,否,牛,辛丑,丙申,庚寅,,否,是,
2021-08-11,2021,8,11,中旬,32,周三,2021,7,4,否,牛,辛丑,丙申,辛卯,,否,是,
2021-08-12,2021,8,12,中旬,32,周四,2021,7,5,否,牛,辛丑,丙申,壬辰,,否,是,
2021-08-13,2021,8,13,中旬,32,周五,2021,7,6,否,牛,辛丑,丙申,癸巳,,否,是,
2021-08-14,2021,8,14,中旬,32,周六,2021,7,7,否,牛,辛丑,丙申,甲午,,是,否,
2021-08-15,2021,8,15,中旬,32,周日,2021,7,8,否,牛,辛丑,丙申,乙未,,是,否,
2021-08-16,2021,8,16,中旬,33,周一,2021,7,9,否,牛,辛丑,丙申,丙申,,否,是,
2021-08-17,2021,8,17,中旬,33,周二,2021,7,10,否,牛,辛丑,丙申,丁酉,,否,是,
2021-08-18,2021,8,18,中旬,33,周三,2021,7,11,否,牛,辛丑,丙申,戊戌,,否,是,
2021-08-19,2021,8,19,中旬,33,周四,2021,7,12,否,牛,辛丑,丙申,己亥,,否,是,
2021-08-20,2021,8,20,中旬,33,周五,2021,7,13,否,牛,辛丑,丙申,庚子,,否,是,
2021-08-21,2021,8,21,下旬,33,周六,2021,7,14,否,牛,辛丑,丙申,辛丑,,是,否,
2021-08-22,2021,8,22,下旬,33,周日,2021,7,15,否,牛,辛丑,丙申,壬寅,,是,否,
2021-08-23,2021,8,23,下旬,34,周一,2021,7,16,否,牛,辛丑,丙申,癸卯,处暑,否,是,
2021-08-24,2021,8,24,下旬,34,周二,2021,7,17,否,牛,辛丑,丙申,甲辰,,否,是,
2021-08-25,2021,8,25,下旬,34,周三,2021,7,18,否,牛,辛丑,丙申,乙巳,,否,是,
2021-08-26,2021,8,26,下旬,34,周四,2021,7,19,否,牛,辛丑,丙申,丙午,,否,是,
2021-08-27,2021,8,27,下旬,34,周五,2021,7,20,否,牛,辛丑,丙申,丁未,,否,是,
2021-08-28,2021,8,28,下旬,34,周六,2021,7,21,否,牛,辛丑,丙申,戊申,,是,否,
2021-08-29,2021,8,29,下旬,34,周日,2021,7,22,否,牛,辛丑,丙申,己酉,,是,否,
2021-08-30,2021,8,30,下旬,35,周一,2021,7,23,否,牛,辛丑,丙申,庚戌,,否,是,
2021-08-31,2021,8,31,下旬,35,周二,2021,7,24,否,牛,辛丑,丙申,辛亥,,否,是,
2021-09-01,2021,9,1,上旬,35,周三,2021,7,25,否,牛,辛丑,丙申,壬子,,否,是,
2021-09-02,2021,9,2,上旬,35,周四,2021,7,26,否,牛,辛丑,丙申,癸丑,,否,是,
2021-09-03,2021,9,3,上旬,35,周五,2021,7,27,否,牛,辛丑,丙申,甲寅,,否,是,
2021-09-04,2021,9,4,上旬,35,周六,2021,7,28,否,牛,辛丑,丙申,乙卯,,是,否,
