公历日期,公历年,公历月,公历日,上中下旬,周数,星期,农历年,农历月,农历日,是否闰月,生肖,干支年,干支月,干支日,节气,是否节假日,是否工作日,节日名称
2021-01-01,2021,1,1,上旬,53,周五,2020,11,18,否,鼠,庚子,戊子,己酉,,是,否,New Year's Day
2021-01-02,2021,1,2,上旬,53,周六,2020,11,19,否,鼠,庚子,戊子,庚戌,,是,否,New Year's Day
2021-01-03,2021,1,3,上旬,53,周日,2020,11,20,否,鼠,庚子,戊子,辛亥,,是,否,New Year's Day
2021-01-04,2021,1,4,上旬,1,周一,2020,11,21,否,鼠,庚子,戊子,壬子,,否,是,
2021-01-05,2021,1,5,上旬,1,周二,2020,11,22,否,鼠,庚子,己丑,癸丑,小寒,否,是,
2021-01-06,2021,1,6,上旬,1,周三,2020,11,23,否,鼠,庚子,己丑,甲寅,,否,是,
2021-01-07,2021,1,7,上旬,1,周四,2020,11,24,否,鼠,庚子,己丑,乙卯,,否,是,
2021-01-08,2021,1,8,上旬,1,周五,2020,11,25,否,鼠,庚子,己丑,丙辰,,否,是,
2021-01-09,2021,1,9,上旬,1,周六,2020,11,26,否,鼠,庚子,己丑,丁巳,,是,否,
2021-01-10,2021,1,10,上旬,1,周日,2020,11,27,否,鼠,庚子,己丑,戊午,,是,否,
2021-01-11,2021,1,11,中旬,2,周一,2020,11,28,否,鼠,庚子,己丑,己未,,否,是,
2021-01-12,2021,1,12,中旬,2,周二,2020,11,29,否,鼠,庚子,己丑,庚申,,否,是,
2021-01-13,2021,1,13,中旬,2,周三,2020,12,1,否,鼠,庚子,己丑,辛酉,,否,是,
2021-01-14,2021,1,14,中旬,2,周四,2020,12,2,否,鼠,庚子,己丑,壬戌,,否,是,
2021-01-15,2021,1,15,中旬,2,周五,2020,12,3,否,鼠,庚子,己丑,癸亥,,否,是,
2021-01-16,2021,1,16,中旬,2,周六,2020,12,4,否,鼠,庚子,己丑,甲子,,是,否,
2021-01-17,2021,1,17,中旬,2,周日,2020,12,5,否,鼠,庚子,己丑,乙丑,,是,否,
2021-01-18,2021,1,18,中旬,3,周一,2020,12,6,否,鼠,庚子,己丑,丙寅,,否,是,
2021-01-19,2021,1,19,中旬,3,周二,2020,12,7,否,鼠,庚子,己丑,丁卯,,否,是,
2021-01-20,2021,1,20,中旬,3,周三,2020,12,8,否,鼠,庚子,己丑,戊辰,大寒,否,是,
2021-01-21,2021,1,21,下旬,3,周四,2020,12,9,否,鼠,庚子,己丑,己巳,,否,是,
2021-01-22,2021,1,22,下旬,3,周五,2020,12,10,否,鼠,庚子,己丑,庚午,,否,是,
2021-01-23,2021,1,23,下旬,3,周六,2020,12,11,否,鼠,庚子,己丑,辛未,,是,否,
2021-01-24,2021,1,24,下旬,3,周日,2020,12,12,否,鼠,庚子,己丑,壬申,,是,否,
2021-01-25,2021,1,25,下旬,4,周一,2020,12,13,否,鼠,庚子,己丑,癸酉,,否,是,
2021-01-26,2021,1,26,下旬,4,周二,2020,12,14,否,鼠,庚子,己丑,甲戌,,否,是,
2021-01-27,2021,1,27,下旬,4,周三,2020,12,15,否,鼠,庚子,己丑,乙亥,,否,是,
2021-01-28,2021,1,28,下旬,4,周四,2020,12,16,否,鼠,庚子,己丑,丙子,,否,是,
2021-01-29,2021,1,29,下旬,4,周五,2020,12,17,否,鼠,庚子,己丑,丁丑,,否,是,
2021-01-30,2021,1,30,下旬,4,周六,2020,12,18,否,鼠,庚子,己丑,戊寅,,是,否,
2021-01-31,2021,1,31,下旬,4,周日,2020,12,19,否,鼠,庚子,己丑,己卯,,是,否,
2021-02-01,2021,2,1,上旬,5,周一,2020,12,20,否,鼠,庚子,己丑,庚辰,,否,是,
2021-02-02,2021,2,2,上旬,5,周二,2020,12,21,否,鼠,庚子,己丑,辛巳,,否,是,
2021-02-03,2021,2,3,上旬,5,周三,2020,12,22,否,鼠,庚子,庚寅,壬午,立春,否,是,
2021-02-04,2021,2,4,上旬,5,周四,2020,12,23,否,鼠,庚子,庚寅,癸未,,否,是,
2021-02-05,2021,2,5,上旬,5,周五,2020,12,24,否,鼠,庚子,庚寅,甲申,,否,是,
2021-02-06,2021,2,6,上旬,5,周六,2020,12,25,否,鼠,庚子,庚寅,乙酉,,是,否,
2021-02-07,2021,2,7,上旬,5,周日,2020,12,26,否,鼠,庚子,庚寅,丙戌,,否,是,
2021-02-08,2021,2,8,上旬,6,周一,2020,12,27,否,鼠,庚子,庚寅,丁亥,,否,是,
2021-02-09,2021,2,9,上旬,6,周二,2020,12,28,否,鼠,庚子,庚寅,戊子,,否,是,
2021-02-10,2021,2,10,上旬,6,周三,2020,12,29,否,鼠,庚子,庚寅,己丑,,否,是,
2021-02-11,2021,2,11,中旬,6,周四,2020,12,30,否,鼠,庚子,庚寅,庚寅,,是,否,Spring Festival
2021-02-12,2021,2,12,中旬,6,周五,2021,1,1,否,牛,辛丑,庚寅,辛卯,,是,否,Spring Festival
2021-02-13,2021,2,13,中旬,6,周六,2021,1,2,否,牛,辛丑,庚寅,壬辰,,是,否,Spring Festival
2021-02-14,2021,2,14,中旬,6,周日,2021,1,3,否,牛,辛丑,庚寅,癸巳,,是,否,Spring Festival
2021-02-15,2021,2,15,中旬,7,周一,2021,1,4,否,牛,辛丑,庚寅,甲午,,是,否,Spring Festival
2021-02-16,2021,2,16,中旬,7,周二,2021,1,5,否,牛,辛丑,庚寅,乙未,,是,否,Spring Festival
2021-02-17,2021,2,17,中旬,7,周三,2021,1,6,否,牛,辛丑,庚寅,丙申,,是,否,Spring Festival
2021-02-18,2021,2,18,中旬,7,周四,2021,1,7,否,牛,辛丑,庚寅,丁酉,雨水,否,是,
2021-02-19,2021,2,19,中旬,7,周五,2021,1,8,否,牛,辛丑,庚寅,戊戌,,否,是,
2021-02-20,2021,2,20,中旬,7,周六,2021,1,9,否,牛,辛丑,庚寅,己亥,,否,是,
2021-02-21,2021,2,21,下旬,7,周日,2021,1,10,否,牛,辛丑,庚寅,庚子,,是,否,
2021-02-22,2021,2,22,下旬,8,周一,2021,1,11,否,牛,辛丑,庚寅,辛丑,,否,是,
2021-02-23,2021,2,23,下旬,8,周二,2021,1,12,否,牛,辛丑,庚寅,壬寅,,否,是,
2021-02-24,2021,2,24,下旬,8,周三,2021,1,13,否,牛,辛丑,庚寅,癸卯,,否,是,
2021-02-25,2021,2,25,下旬,8,周四,2021,1,14,否,牛,辛丑,庚寅,甲辰,,否,是,
2021-02-26,2021,2,26,下旬,8,周五,2021,1,15,否,牛,辛丑,庚寅,乙巳,,否,是,
2021-02-27,2021,2,27,下旬,8,周六,2021,1,16,否,牛,辛丑,庚寅,丙午,,是,否,
2021-02-28,2021,2,28,下旬,8,周日,2021,1,17,否,牛,辛丑,庚寅,丁未,,是,否,
2021-03-01,2021,3,1,上旬,9,周一,2021,1,18,否,牛,辛丑,庚寅,戊申,,否,是,
2021-03-02,2021,3,2,上旬,9,周二,2021,1,19,否,牛,辛丑,庚寅,己酉,,否,是,
2021-03-03,2021,3,3,上旬,9,周三,2021,1,20,否,牛,辛丑,庚寅,庚戌,,否,是,
2021-03-04,2021,3,4,上旬,9,周四,2021,1,21,否,牛,辛丑,庚寅,辛亥,,否,是,
2021-03-05,2021,3,5,上旬,9,周五,2021,1,22,否,牛,辛丑,辛卯,壬子,惊蛰,否,是,
2021-03-06,2021,3,6,上旬,9,周六,2021,1,23,否,牛,辛丑,辛卯,癸丑,,是,否,
2021-03-07,2021,3,7,上旬,9,周日,2021,1,24,否,牛,辛丑,辛卯,甲寅,,是,否,
2021-03-08,2021,3,8,上旬,10,周一,2021,1,25,否,牛,辛丑,辛卯,乙卯,,否,是,
2021-03-09,2021,3,9,上旬,10,周二,2021,1,26,否,牛,辛丑,辛卯,丙辰,,否,是,
2021-03-10,2021,3,10,上旬,10,周三,2021,1,27,否,牛,辛丑,辛卯,丁巳,,否,是,
